web-scraper-order,web-scraper-start-url,Overall rating,Cuisine,Food rating,Service rating,Value rating,Atmosphere rating,Price range,Review titles,Review text,Awards,Five stars,Four stars,Three stars,Two stars,One star,Number of reviews,Restaurant
1587879293-38959,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"To say that this is my favorite restaurant in all the world is an understatement. Were I to choose a last supper, this would be it. Chef  César Ramirez controls all aspects of your dining experience. His waitstaff is incredibly capable and his ~15-course menu,...More",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38956,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"My second visit to Chef's Table and a reminder of why I consider it my favorite 3 Michelin. Chef Cesar takes quality ingredients and manage to perfectly balance them in his dishes. His uni and truffle toast is second to none. The toro tart was magical. The duck ravioli was a tease that left you wanting a bowl of it. And the frozen souffle was like eating a delicious cloud. 
I really can't say enough good things about Chef's Table. I will be back yet again.",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38951,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"Food/Dishes - superb, excellent, undeniably great!
Table/seating/space - a little cramped
Service - a little subpar for a 3-star spot, could be better
Overall experience - Good",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38940,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,Best Food I Ever Eaten in my Life,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38942,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,Be prepared to be blown away!!!!,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38958,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"I have nothing but great things to say about the chefs table. Service on point, the food creative and tasty. One of the best !",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38955,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,A kind of weird entry through a grocery store lies one of New York’s best restaurants. Chef’s Table is a three Michelin-starred restaurant featuring the cuisine of Chef César Ramirez. Every dish was packed with flavour. There was not a single dish that we didn’t enjoy. The quality of food is also of high nature. Decor and atmosphere is simple but chic. Service was professional and attentive. The whole dining experience was flawless save for what happened at the end. Chef Ramirez was attending the tables and greeting his guests which is our usual gesture at high end restaurants and with well-known chefs. We were surprised that he didn’t pass by our table or greet us. We thought that he may do this towards the end. We asked for the bill and it was obvious that we were not going to meet him. So when we were leaving we asked the waiters every code great chef Ramirez. We were surprised to be told that he is busy in the kitchen doing the ice cream dish! No one even offered to check or ask us if we could wait for him. This left an impression with us at ignoring us was intentional and for reasons that we have no clue for. Obviously we were disappointed but this would not let me rate restaurant less than 5.,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38953,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,,"My, it must be hard to ""outdo yourself"" all the time. But Chef Ramirez and his team of chefs and attentive staff...well, they do, every time! Each forkful is heavenly....somehow making one a tad nervous that you won't get to enjoy the next. But...you do...and this glorious experience is somehow ""shared"" by those who are preparing it for you. ""I see you glimpsing in my direction"" sous chef's....and BRAVO!
I'll be back.....",Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38947,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,Best of all NYC 3 star Michelin Restaurants,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
1587879293-38945,https://en.tripadvisor.com.hk/Restaurant_Review-g60763-d12281642-Reviews-Chefs_Table_at_Brooklyn_Fare-New_York_City_New_York.html,4.5,null,50,50,45,null,$$$$,Outstanding but,,Certificate of Excellence2018 - 2019 Winner,48,3,4,2,4,75 reviews,Chef's Table at Brooklyn Fare
