web-scraper-order,web-scraper-start-url,Link,Link-href,Restaurant,Cuisine and Price,Review text,Michelin stars
"1587809986-183","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare","Chef's Table at Brooklyn Fare","75
                                    
                                    -
                                    395
                                    
                                    USD
                                    
                                     • Contemporary","That you have to wander the aisles of a supermarket in search of the entrance merely adds to the feeling that you have the code to something secret, something special, something exclusive. Some two and a half hours later you leave this stunning restaurant feeling joyously replete but also with some regret that it’s all over. There are tables around the edge of the attractive room but sitting at the walnut counter watching the focused and practiced movements of the team is an integral part of the experience. Everyone is served at the same time by a smart black-suited team who prove that when service is really good, you barely notice it. Chef César Ramirez’s cooking is an almost subtractive form of cuisine, with the emphasis on allowing the natural flavors of ingredients to come through. The 13 or so small but perfectly formed dishes confirm a chef at the height of his powers as there is nothing showy or extraneous here. It’s just an absolute meticulousness in ensuring that the key ingredient, whether that’s a Scottish langoustine or A5 Wagyu beef from Miyazaki, delivers its true essence. The sauces, which are of extraordinary depth, play their part in this.","o"
"1587809970-176","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-yasuda","Sushi Yasuda","149
                                    
                                    USD
                                    
                                     • Japanese","There is a spartan appearance to this sushi temple, where honey-toned bamboo slats are by far the warmest decorative feature. Reservations require confirmation and punctuality, but to sushi-loving diehards, this is just the cost of admission. Avoid the tables packed with suits (this is midtown, after all) and request a seat at the sleek counter—it’s where the magic happens. Your experience here depends entirely on the soft-spoken, attentive and very focused itamae working before you, as his signature style will guide your meal. Their mission is to ensure that each diner receives a wide variety of fish that has just been cut, formed and dressed moments before it is eaten. The kitchen lives up to its hype by ignoring new wave trends in favor of serving classically assembled and spectacularly pristine sushi. Every item is handled with the utmost care, especially the progression of sashimi highlighting the ample textures of mackerel, tuna and salmon. Outstanding clams and scallops are seasoned with a touch of lemon and sea salt flakes to enhance their natural taste; while nigiri featuring Maine and Japanese uni tastings underscore the subtle differences in flavor.","m"
"1587809994-187","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/estela","Estela","50
                                    
                                    -
                                    130
                                    
                                    USD
                                    
                                     • Contemporary","Housed on the second floor of a nondescript low-rise, this long, deep and boisterous little SoHo alcove is as downtown New York as ever. It's also an ideal place to convene with friends over exquisite nibbles and quenching cocktails; and regardless of how loud it gets, there is an infectious, omniscient spirit that encourages diners to linger. Maybe that’s because the talented chef behind this operation, Ignacio Mattos, is unfaltering and impressively consistent in his creative renditions of such bold and iconic dishes as ricotta dumplings with mushrooms and Pecorino Sardo. The menu goes on to offer an array of shareable plates that changes regularly, but if you spot that delightful risotto special, jump on it and worry about the calories later. Dinner might kick off with perfect, sashimi-grade tuna accompanied by woodsy black trumpet mushrooms and elevated by a smooth and tart mirin-soy sauce. Your meal may then hit a crescendo, thanks to dramatically plated fried arroz negro scattered with tender squid and hazelnut-studded romesco. A soft and custard-y panna cotta decked out with vinegar, honey and smoked sea salt brings this enticing series of events to an exalted end.","m"
"1587810073-223","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bar-uchu","Bar Uchū","100
                                    
                                    -
                                    255
                                    
                                    USD
                                    
                                     • Japanese","As with all the best addresses, you’ll need an actual one to arrive at Bar Uchū, because their sign is so discreet you could easily walk past. Once inside, find yourself being guided gently by a member of staff to your seat at the L-shaped counter where you’ll be then greeted with that most heartening of questions: “Do you drink alcohol? ” Yes, this is a bar counter, not a kitchen counter—so instead of having a gaggle of diligent chefs beavering away in front of you, you’ll be faced with what for some is the far more appealing sight of seductively illuminated bottles of Japanese whisky and cut-glass tumblers. As soon as you’ve been served the house cocktail of the day, the kaiseki-style meal commences. This cuisine is nominally Japanese but Chef Sam Clonts’ cooking is unfettered by tradition and puts all his experience reaped at the illustrious Chef’s Table at Brooklyn Fare to good use. The most striking element here is that these dishes are burnished with a roll-call of exceptionally luxurious ingredients, as might be evidenced by the golden Osetra caviar in the temaki, or the A5 Miyazaki rib-eye couched in the Hokkaido milk bread. The kitchen’s largesse will leave a lasting impression.","m"
"1587810038-207","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atomix","Atomix","205
                                    
                                    USD
                                    
                                     • Korean","The opening of Atomix in 2018 brought about a paradigm shift in the city’s appreciation of Korean food. Owners Junghyun Park and his wife Ellia not only serve the most exquisite multicourse menu, but have also created a truly beautiful space inside this Gramercy brownstone in which to enjoy it. This becomes quickly apparent, as you’re led into the lounge for pre-prandial drinks and snacks before being seated at the three-sided, 14-seat counter—that enormous care has gone into every detail, from the colors and the uniforms to the chopsticks and the bowls. Competing with all this style and elegance could be a challenge but the food is equally memorable. Dishes are delicate, yet satisfying and display extraordinary finesse and detail. The banchan alone will alert you that something special is happening here and whether pickling, curing, fermenting or grilling it’s apparent this is one with a mastery of all techniques. And the ingredients, be it Australian abalone, Hokkaido uni or Wagyu from Miyazaki are equally exemplary. To supplement the already charming service, custom-designed cards explaining the make-up of each dish and the inspiration behind it are presented with each course.","n"
"1587809967-175","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kajitsu","Kajitsu","97
                                    
                                    -
                                    127
                                    
                                    USD
                                    
                                     • Japanese","It’s the way of the modern world that we think of the changing of the seasons more in terms of our wardrobe rather than our food—but a meal at Kajitsu could change that. This Japanese vegan restaurant serves shojin cuisine based on the precepts of Buddhism—if you’re in search of an antidote to the plethora of steakhouses in the city, this is it. The traditionally decorated space on the second floor is a sanctuary of peace and tranquility and offers table or counter seating and service that is as charming as it is earnest. Such is the skill of the kitchen you’ll forget in no time about the absence of fish or meat. It’s all about balance, harmony and simplicity—and allowing the ingredients’ natural flavors to shine, whether it’s the delicate onion soup with mizuna and potato, or the visually arresting hassun which could include everything from mountain yam to burdock root. Your period of contemplation and newfound respect for your fellow man may come to a juddering halt when you find yourself back on Lexington but, for a few moments at least, you’ll feel you connected with nature.","m"
"1587809992-186","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/caviar-russe","Caviar Russe","95
                                    
                                    -
                                    149
                                    
                                    USD
                                    
                                     • Contemporary","No playful pun, no name-check for grandma, no oblique reference to a geographical landmark—whoever christened this restaurant clearly wanted to attract a certain type of customer. This is not the place where you should order by pointing vaguely at the menu—that way lies trouble because you may find yourself having to re-mortgage your apartment to pay for the 250 grams of Osetra caviar you’ve just inadvertently requested. Best leave that section of the carte to the oligarchs and retired dictators and concentrate on the main menu. Here you will find contemporary dishes of surprising delicacy and precision, with a pleasing bias towards wonderful seafood and shellfish, such as scallops with ricotta gnudi or delicious bluefin tuna with uni and asparagus. You get buzzed in at street level, which adds a bit of mystery to proceedings. Up the stairs and you’ll find yourself in a lavish little jewel box, with colorful murals on the wall, Murano chandeliers hanging from an ornate ceiling, and semi-circular booths. The only thing missing is James Bond’s nemesis drumming his fingers on the table in the corner. For more plush fun in the sun, there is a seriously posh outpost at The Four Seasons Tower in Miami.","m"
"1587809983-182","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-jardinier","Le Jardinier","62
                                    
                                    -
                                    90
                                    
                                    USD
                                    
                                     • French","Chef Alain Verzeroli, who spent just over two decades crafting the menus of the late, great Joël Robuchon, lands his first solo project, and it’s a culinary wonderland. Buried into a corner of a gleaming condo tower designed by Foster & Partners, this gorgeous, light-filled space is truly a verdant vision—with olive-green velvet furnishings, green-veined marble flooring and lush plants at every turn. It’s the perfect effect for the chef's equally produce-driven menu, where seasonal vegetables, fruits and herbs play a prominent role—with impeccably sourced meats and sustainable fish as their supporting cast. Diners are welcomed with an ""amuse-juice; "" cocktails feature vegetables and herbs; and even the ice cream is plant-based. Dinner highlights however include Maine sea scallops, seared to perfection before being enhanced with a carrot purée, snap peas, and grilled spring onion. A perfectly cooked whole lobster may then arrive, expertly sliced from its shell and served with a foamy bisque as well as tender, colorful potatoes smoked over cherry wood. Save room for Pastry Chef Salvatore Martone’s intricate and delicious desserts, like a lemon tart with crispy meringue.","m"
"1587809998-189","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ukiyo","Ukiyo","59
                                    
                                    -
                                    125
                                    
                                    USD
                                    
                                     • Contemporary","In this unconventional dining room adjoining Jewel Bako, Chef Marco Prins assembles a menu that combines his personal story with his culinary pedigree—from Chef's Table at Brooklyn Fare to Spain’s acclaimed Martín Berasategui. The mini space is hardly enough to contain his talent, but the deeply intimate vibe feels very downtown and tuned in. Cleary chef driven, dishes here flaunt focus and style while utilizing a host of global ingredients. To wit—Arctic char is set in a bright orange parsnip beurre blanc and topped with pickled kohlrabi for a visually arresting combination; while a parfait of foie gras is enriched with pistachio crumbles and cranberry crackers. Then it's on to such creative plates as a celery root cappuccino bobbing with tender lobster; or Shigoku oysters with just the right pop of sweet and spicy nam jim. A spiced caramel parfait with rosemary-apple compote is delightfully tart and textured, and should be tailed by the Japanese Tea Service, unveiling cups of delicate green tea accompanied by mignardise. Budget-conscious diners should opt for the tasting menus, which offer a curated list of dishes at good value.","m"
"1587810024-201","https://guide.michelin.com/us/en/new-york-state/new-york/restaurants/3-stars-michelin/2-stars-michelin/1-star-michelin","","https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kosaka","Kosaka","75
                                    
                                    -
                                    155
                                    
                                    USD
                                    
                                     • Japanese","Lauded Chef Yoshihiko Kousaka is in control of this superb sushiya, which offers a stellar omakase in an elegant setting. The room is sleek, modern and flaunts a handsome Japanese sensibility—there is a counter for 12, along with three small tables, as well as a relaxed but deeply attentive staff to help enhance the experience. Soft piano music plays in the background, and the crowd is energetic and warm. Chef Kousaka often prepares each item of the omakase himself, methodically working pieces of fish into something transcendent, and explaining them in full to the bright-eyed patrons. The impressive 15-piece version can be tailored somewhat as diners can opt for sushi only or sushi with sashimi, as well as such luxe supplemental items as uni, toro, king crab and ankimo (monkfish liver). Here, fish is minimally embellished, relying instead on original sourcing and the chef’s impeccable technique. For instance, a night’s parade churned out of this kitchen may include everything from red snapper, Japanese sea bass and silky shrimp, to wild winter yellowtail, firefly squid with sweet miso and tosazu jelly, as well as mackerel with ginger and scallion.","m"
